x,y
-1.857950827562008271e+02,-2.182106469527210990e+01
-1.690221729997965028e+01,1.950744056538785287e+02
-3.210475913994707753e+01,-1.160511654032577269e+02
-2.044338794570152231e+02,4.723129641850647431e+01
-4.984079988836947450e+01,6.091792462694843380e+01
-1.088276141729045889e+02,-1.009136290140767755e+01
-8.732670063878855160e+01,-5.136254679975896664e+01
4.953057807100999526e+02,-9.338897684927258069e+01
-1.203934140663047714e+02,-7.502303714983177940e+01
-3.776245920052955967e+02,-1.225713963962074438e+01
1.139073823118647653e+02,-1.312407102269013421e+02
5.395056903709129159e+01,2.112412390587879543e+02
-1.121755348343890546e+02,-1.000541589557681164e+02
1.568632493358518332e+02,-1.840468962162911737e+02
-4.395388345658817570e+02,5.772883189368749868e+01
-1.583622606737291392e+02,-6.176046940843847466e+01
5.246657838638475368e+01,2.595037553428102228e+02
1.061299653799218277e+02,-1.318490087042770824e+02
-2.615142055075398275e+01,-6.005239820902266956e+01
2.405513608146642639e+02,-1.315949974213365294e+02
